Name, SubZoneID
Greenland, 102
Greenland, 102
Greenland, 102
Greenland, 102
Greenland, 102
Greenland, 102
Greenland, 102
Greenland, 102
Greenland, 102
Greenland, 102
Greenland, 102
Greenland, 102
Greenland, 102
Greenland, 102
Greenland, 102
Greenland, 102
Greenland, 102
Greenland, 102
Greenland, 102
Greenland, 102
Greenland, 102
Greenland, 102
Greenland, 102
Greenland, 102
Greenland, 102
Greenland, 102
Greenland, 102
Greenland, 102
Greenland, 102
Greenland, 102
Greenland, 102
Greenland, 102
Greenland, 102
Greenland, 102
Greenland, 102
Greenland, 102
Greenland, 102
Greenland, 102
Greenland, 102
Greenland, 102
Greenland, 102
Greenland, 102
Barentsia Franz Josef Land, 311
Barentsia Franz Josef Land, 311
Barentsia Franz Josef Land, 311
Barentsia Franz Josef Land, 311
Barentsia Franz Josef Land, 311
Barentsia Franz Josef Land, 311
Barentsia Franz Josef Land, 311
Barentsia Franz Josef Land, 311
Barentsia Franz Josef Land, 311
Barentsia Franz Josef Land, 311
Barentsia Franz Josef Land, 311
Barentsia Franz Josef Land, 311
Barentsia Franz Josef Land, 311
Barentsia Franz Josef Land, 311
Barentsia Franz Josef Land, 311
Barentsia Franz Josef Land, 311
Barentsia Franz Josef Land, 311
Barentsia Franz Josef Land, 311
Barentsia Franz Josef Land, 311
Barentsia Franz Josef Land, 311
Barentsia Franz Josef Land, 311
Barentsia Franz Josef Land, 311
Canadian Arctic Islands North, 120
Canadian Arctic Islands North, 120
Canadian Arctic Islands North, 120
Canadian Arctic Islands North, 120
Canadian Arctic Islands North, 120
Canadian Arctic Islands North, 120
Canadian Arctic Islands North, 120
Canadian Arctic Islands North, 120
Canadian Arctic Islands North, 120
Canadian Arctic Islands North, 120
Canadian Arctic Islands North, 120
Canadian Arctic Islands North, 120
Canadian Arctic Islands North, 120
Canadian Arctic Islands North, 120
Canadian Arctic Islands North, 120
Canadian Arctic Islands North, 120
Canadian Arctic Islands North, 120
Canadian Arctic Islands North, 120
East Svalbard, 311
East Svalbard, 311
East Svalbard, 311
East Svalbard, 311
East Svalbard, 311
East Svalbard, 311
North America Craton, 101
North America Craton, 101
North America Craton, 101
North America Craton, 101
North America Craton, 101
North America Craton, 101
North America Craton, 101
North America Craton, 101
North America Craton, 101
North America Craton, 101
North America Craton, 101
North America Craton, 101
North America Craton, 101
North America Craton, 101
North America Craton, 101
North America Craton, 101
North America Craton, 101
North America Craton, 101
North America Craton, 101
North America Craton, 101
North America Craton, 101
North America Craton, 101
North America Craton, 101
North America Craton, 101
North America Craton, 101
North America Craton, 101
North America Craton, 101
North America Craton, 101
North America Craton, 101
North America Craton, 101
North America Craton, 101
North America Craton, 101
North America Craton, 101
North America Craton, 101
North America Craton, 101
North America Craton, 101
North America Craton, 101
North America Craton, 101
North America Craton, 101
North America Craton, 101
North America Craton, 101
North America Craton, 101
North America Craton, 101
North America Craton, 101
North America Craton, 101
North America Craton, 101
North America Craton, 101
North America Craton, 101
North America Craton, 101
North America Craton, 101
North America Craton, 101
North America Craton, 101
North America Craton, 101
North America Craton, 101
North America Craton, 101
North America Craton, 101
North America Craton, 101
North America Craton, 101
North America Craton, 101
North America Craton, 101
Kolyma Range, 43202
Sea of Okhotsk, 301
Sea of Okhotsk, 301
Sea of Okhotsk, 301
Sea of Okhotsk, 301
Sea of Okhotsk, 301
Sakhalin, 624
Sakhalin, 624
Sakhalin, 624
Sakhalin, 624
Sakhalin, 624
Sakhalin, 624
Aleutian Chain Polygon, 16130
Aleutian Chain Polygon, 16130
Aleutian Chain Polygon, 16130
Aleutian Chain Polygon, 16130
Aleutian Chain Polygon, 16130
Aleutian Chain Polygon, 16130
Aleutian Chain Polygon, 16130
Aleutian Chain Polygon, 16130
Aleutian Chain Polygon, 16130
Aleutian Chain Polygon, 16130
Novaya Block, 42102
Novaya Block, 42102
Novaya Block, 42102
England-Brabant Avalonia, 315
England-Brabant Avalonia, 315
England-Brabant Avalonia, 315
England-Brabant Avalonia, 315
England-Brabant Avalonia, 315
England-Brabant Avalonia, 315
England-Brabant Avalonia, 315
England-Brabant Avalonia, 315
England-Brabant Avalonia, 315
England-Brabant Avalonia, 315
England-Brabant Avalonia, 315
England-Brabant Avalonia, 315
England-Brabant Avalonia, 315
England-Brabant Avalonia, 315
Sikhate Alin, 619
Iberia, 304
Iberia, 304
Mexico, 104
Mexico, 104
Mexico, 104
North Okinawa Trough, 649
North Okinawa Trough, 649
North Okinawa Trough, 649
West Burma Block, 7250
Sino/Burma/Malaya, 60301
Sino/Burma/Malaya, 603
Sino/Burma/Malaya, 603
South Okinawa Trough, 648
South Okinawa Trough, 648
South Okinawa Trough, 648
South Okinawa Trough, 648
Yucatan, Central America, 205
Yucatan, Central America, 205
Yucatan, Central America, 205
Yucatan, Central America, 205
Indochina, 60402
Indochina, 60402
Indochina, 60402
Indochina, 60402
Indochina, 60402
Guerrero, Mexico, 215
South Cuba, 275
South Cuba, 275
Hispaniola Cordillera, 254
Hispaniola Cordillera, 254
Eastern Puerto Rico, 237
Eastern Puerto Rico, 237
Lesser Antilles Arc, 234
Lesser Antilles Arc, 234
Lesser Antilles Arc, 234
Lesser Antilles Arc, 234
Lesser Antilles Arc, 234
Lesser Antilles Arc, 234
Lesser Antilles Arc, 234
Lesser Antilles Arc, 234
Lesser Antilles Arc, 234
Lesser Antilles Arc, 234
Lesser Antilles Arc, 234
Danakil plate, Africa, 710
Danakil plate, Africa, 710
Danakil plate, Africa, 710
Chiapas, Central America, 208
East Philippines, 678
East Philippines, 678
East Philippines, 678
East Philippines, 678
East Philippines, 678
East Philippines, 678
East Philippines, 678
East Philippines, 678
East Philippines, 678
East Philippines, 678
East Philippines, 678
Andaman-Nicobar Ridge, 687
Andaman-Nicobar Ridge, 687
Andaman-Nicobar Ridge, 687
Andaman-Nicobar Ridge, 687
Andaman-Nicobar Ridge, 687
Mindanao-Negros, 674
Mindanao-Negros, 674
Mindanao-Negros, 674
Mindanao-Negros, 674
Mindanao-Negros, 674
Mindanao-Negros, 674
Mindanao-Negros, 674
Mindanao-Negros, 674
Mindanao-Negros, 674
Mindanao-Negros, 674
Mindanao-Negros, 674
Mindanao-Negros, 674
Mindanao-Negros, 674
Mindanao-Negros, 674
Malay Peninsula, 647
Malay Peninsula, 647
Malay Peninsula, 647
Malay Peninsula, 647
Malay Peninsula, 647
Malay Peninsula, 647
Malay Peninsula, 647
Malay Peninsula, 647
Malay Peninsula, 647
Malay Peninsula, 647
Perija, South America, 228
Perija, South America, 228
Perija, South America, 228
Perija, South America, 228
Romeral, Colombia, South America, 226
Western Panama, Central America, 231
Western Panama, Central America, 231
Eastern Panama, Central America, 226
Eastern Panama, Central America, 201
Eastern Panama, Central America, 201
Eastern Panama, Central America, 201
Eastern Panama, Central America, 201
South America Craton, 201
South America Craton, 201
South America Craton, 201
South America Craton, 201
South America Craton, 201
South America Craton, 201
South America Craton, 201
South America Craton, 201
South America Craton, 201
South America Craton, 201
South America Craton, 201
South America Craton, 201
South America Craton, 201
South America Craton, 201
South America Craton, 201
South America Craton, 201
South America Craton, 201
South America Craton, 201
South America Craton, 201
South America Craton, 201
South America Craton, 201
South America Craton, 201
South America Craton, 201
South America Craton, 201
South America Craton, 201
South America Craton, 201
South America Craton, 201
South America Craton, 201
South America Craton, 201
South America Craton, 201
